0,23,52,10
1,23,38,2
2,23,0,10
3,23,17,8
4,23,59,6
5,23,67,8
6,23,18,8
7,61,68,14
8,61,25,1
9,61,36,8
10,61,12,4
11,61,16,2
12,61,5,20
13,61,65,1
14,1,42,20
15,1,54,18
16,1,62,8
17,1,25,1
18,55,32,18
19,55,3,14
20,55,50,2
21,45,17,11
22,45,46,2
23,45,33,19
24,45,60,6
25,45,3,11
26,17,49,9
27,17,59,15
28,19,42,19
29,19,33,8
30,19,49,20
31,19,63,16
32,19,6,15
33,19,17,9
34,49,8,6
35,49,59,15
36,49,12,5
37,49,11,12
38,49,61,19
39,49,65,1
40,49,64,9
41,49,59,11
42,47,69,2
43,47,5,19
44,47,41,10
45,47,14,10
46,51,61,13
47,51,10,12
48,51,18,17
49,51,47,6
50,66,32,10
51,66,11,1
52,66,53,16
53,66,14,5
54,66,27,4
55,66,9,18
56,66,43,16
57,16,8,2
58,16,27,7
59,16,10,11
60,16,24,16
61,0,23,14
62,0,20,2
63,0,6,20
64,0,32,12
65,0,33,15
66,64,12,18
67,64,66,11
68,64,42,14
69,54,31,15
70,54,45,8
71,54,27,11
72,54,13,13
73,21,47,13
74,21,67,20
75,21,1,18
76,21,18,9
77,21,17,18
78,21,15,17
79,21,32,20
80,56,29,8
81,56,26,7
82,56,43,2
83,56,16,16
84,59,39,9
85,59,29,10
86,65,54,4
87,65,52,17
88,65,63,2
89,65,48,4
90,65,51,9
91,65,41,6
92,24,16,1
93,24,12,6
94,24,34,6
95,24,63,13
96,24,65,20
97,69,15,19
98,69,56,9
99,69,21,20
100,69,62,7
101,69,61,17
102,69,19,8
103,69,35,5
104,69,55,1
105,27,1,9
106,27,5,13
107,37,68,9
108,37,41,2
109,25,23,2
110,25,62,16
111,25,13,7
112,25,47,2
113,25,69,13
114,25,22,13
115,32,28,7
116,32,42,20
117,32,52,2
118,32,18,3
119,41,68,5
120,41,8,3
121,41,47,8
122,41,42,5
123,41,16,5
124,41,30,5
125,68,34,18
126,68,64,7
127,68,8,15
128,68,28,7
129,68,33,15
130,68,29,12
131,43,58,13
132,43,11,8
133,43,0,18
134,3,27,7
135,3,67,20
136,3,6,6
137,63,24,2
138,63,52,10
139,63,18,8
140,63,58,9
141,40,23,14
142,40,68,14
143,40,31,16
144,40,19,17
145,15,6,2
146,15,23,1
147,15,64,13
148,38,65,15
149,38,15,12
150,38,34,7
151,38,42,15
152,38,17,16
153,38,48,12
154,38,47,14
155,30,60,15
156,30,29,4
157,30,68,5
158,30,16,5
159,29,56,16
160,29,49,18
161,29,33,20
162,29,61,20
163,29,50,19
164,29,48,6
165,29,65,14
166,5,42,8
167,5,57,4
168,5,46,10
169,5,20,6
170,5,45,2
171,5,4,18
172,5,53,11
173,22,41,8
174,22,36,7
175,22,18,12
176,22,52,1
177,42,57,9
178,42,55,3
179,42,66,17
180,42,55,2
181,42,21,18
182,42,26,3
183,7,6,7
184,7,60,5
185,7,14,6
186,7,27,7
187,7,25,17
188,31,50,16
189,31,69,7
190,60,11,14
191,60,41,8
192,10,19,11
193,10,8,5
194,10,32,9
195,10,25,6
196,10,58,4
197,10,19,11
198,10,13,16
199,10,65,16
200,36,46,9
201,36,67,7
202,36,10,19
203,34,54,5
204,34,52,5
205,34,59,8
206,34,47,3
207,28,33,15
208,28,12,5
209,28,63,10
210,28,7,8
211,28,52,3
212,28,22,12
213,28,41,9
214,28,46,3
215,33,67,2
216,33,59,19
217,33,11,3
218,33,10,7
219,33,12,1
220,4,29,3
221,4,7,19
222,4,65,8
223,4,35,4
224,18,43,16
225,18,69,11
226,20,0,15
227,20,64,13
228,20,19,2
229,20,8,14
230,20,15,8
231,20,63,3
232,20,13,15
233,20,23,18
234,12,59,8
235,12,10,9
236,12,29,8
237,12,22,8
238,12,50,3
239,12,65,17
240,46,54,3
241,46,34,20
242,46,54,17
243,46,62,1
244,26,68,1
245,26,2,2
246,26,36,17
247,26,60,12
248,26,3,18
249,26,29,18
250,26,57,14
251,53,40,3
252,53,4,10
253,53,50,19
254,53,23,12
255,53,3,3
256,52,37,20
257,52,49,4
258,52,51,18
259,52,8,9
260,52,43,18
261,52,19,13
262,52,22,13
263,52,29,1
264,48,22,15
265,48,28,6
266,48,3,12
267,9,57,13
268,9,19,16
269,6,30,20
270,6,59,12
271,6,11,13
272,6,39,17
273,6,62,4
274,6,16,17
275,6,63,5
276,62,4,20
277,62,41,11
278,62,59,4
279,62,52,4
280,8,58,18
281,8,39,10
282,8,5,4
283,8,67,3
284,14,41,13
285,14,44,8
286,14,24,1
287,14,18,5
288,14,45,6
289,14,19,12
290,14,30,8
291,35,4,8
292,35,15,3
293,35,11,8
294,35,20,3
295,35,66,9
296,35,25,1
297,35,19,18
298,13,42,17
299,13,18,5
300,13,39,2
301,13,41,19
302,13,37,7
303,13,54,4
304,13,60,9
305,13,21,12
306,44,11,15
307,44,13,7
308,44,61,11
309,44,52,17
310,44,49,9
311,39,8,16
312,39,30,18
313,39,36,1
314,2,30,3
315,2,33,7
316,2,34,17
317,2,35,15
318,2,16,12
319,2,57,4
320,2,23,11
321,50,27,16
322,50,65,1
323,50,3,4
324,50,38,11
325,50,36,19
326,57,35,1
327,57,41,2
328,57,1,17
329,57,46,2
330,67,52,11
331,67,69,16
332,67,52,14
333,67,39,2
334,11,22,6
335,11,16,15
336,11,18,6
337,58,24,9
338,58,62,20
